titles,artists,ids,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Flash Light,Parliament,1v1PV2wERHiMPesMWX0qmO,1v1PV2wERHiMPesMWX0qmO,0.702,0.735,7,-10.458,0,0.0465,0.243,0.117,0.474,0.687,105.177,audio_features,1v1PV2wERHiMPesMWX0qmO,spotify:track:1v1PV2wERHiMPesMWX0qmO,https://api.spotify.com/v1/tracks/1v1PV2wERHiMPesMWX0qmO,https://api.spotify.com/v1/audio-analysis/1v1PV2wERHiMPesMWX0qmO,346667,4
Don't Look Back,Boston,4QySZtWymRGNgrwxZOODKF,4QySZtWymRGNgrwxZOODKF,0.359,0.717,2,-10.309,1,0.0405,0.015,0.00365,0.36,0.47,121.878,audio_features,4QySZtWymRGNgrwxZOODKF,spotify:track:4QySZtWymRGNgrwxZOODKF,https://api.spotify.com/v1/tracks/4QySZtWymRGNgrwxZOODKF,https://api.spotify.com/v1/audio-analysis/4QySZtWymRGNgrwxZOODKF,360333,4
Turn to Stone,Electric Light Orchestra,1Pd1h30mgU05QkWYhgFzwt,1Pd1h30mgU05QkWYhgFzwt,0.548,0.72,1,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,audio_features,1Pd1h30mgU05QkWYhgFzwt,spotify:track:1Pd1h30mgU05QkWYhgFzwt,https://api.spotify.com/v1/tracks/1Pd1h30mgU05QkWYhgFzwt,https://api.spotify.com/v1/audio-analysis/1Pd1h30mgU05QkWYhgFzwt,229093,4
I Can't Stand the Rain,Eruption,2SWmfd8iv4CiBOztWJebux,2SWmfd8iv4CiBOztWJebux,0.708,0.693,11,-9.557,1,0.0917,0.211,0.000515,0.162,0.892,108.319,audio_features,2SWmfd8iv4CiBOztWJebux,spotify:track:2SWmfd8iv4CiBOztWJebux,https://api.spotify.com/v1/tracks/2SWmfd8iv4CiBOztWJebux,https://api.spotify.com/v1/audio-analysis/2SWmfd8iv4CiBOztWJebux,185733,4
Ebony Eyes,Bob Welch,4OLRw2NSxCyNkfCs8Uwvwg,4OLRw2NSxCyNkfCs8Uwvwg,0.698,0.676,11,-11.717,1,0.0277,0.0101,2.57e-05,0.112,0.961,116.486,audio_features,4OLRw2NSxCyNkfCs8Uwvwg,spotify:track:4OLRw2NSxCyNkfCs8Uwvwg,https://api.spotify.com/v1/tracks/4OLRw2NSxCyNkfCs8Uwvwg,https://api.spotify.com/v1/audio-analysis/4OLRw2NSxCyNkfCs8Uwvwg,212760,4
The Name of the Game,ABBA,1lDo24S34NvI1pAg7Oxldc,1lDo24S34NvI1pAg7Oxldc,0.656,0.565,9,-8.722,1,0.0301,0.357,0.000192,0.0629,0.615,77.049,audio_features,1lDo24S34NvI1pAg7Oxldc,spotify:track:1lDo24S34NvI1pAg7Oxldc,https://api.spotify.com/v1/tracks/1lDo24S34NvI1pAg7Oxldc,https://api.spotify.com/v1/audio-analysis/1lDo24S34NvI1pAg7Oxldc,291867,4
We're All Alone,Rita Coolidge,2QDnRMFfnes9DUWc6HgixI,2QDnRMFfnes9DUWc6HgixI,0.332,0.429,7,-8.376,1,0.0287,0.356,3.18e-05,0.0619,0.239,128.073,audio_features,2QDnRMFfnes9DUWc6HgixI,spotify:track:2QDnRMFfnes9DUWc6HgixI,https://api.spotify.com/v1/tracks/2QDnRMFfnes9DUWc6HgixI,https://api.spotify.com/v1/audio-analysis/2QDnRMFfnes9DUWc6HgixI,220520,4
Hollywood Nights,Bob Seger & The Silver Bullet Band,5VbePtZp1at8gH990zVyTI,5VbePtZp1at8gH990zVyTI,0.529,0.968,9,-5.198,1,0.0503,0.00506,0.00034,0.201,0.751,150.326,audio_features,5VbePtZp1at8gH990zVyTI,spotify:track:5VbePtZp1at8gH990zVyTI,https://api.spotify.com/v1/tracks/5VbePtZp1at8gH990zVyTI,https://api.spotify.com/v1/audio-analysis/5VbePtZp1at8gH990zVyTI,302627,4
Deacon Blues,Steely Dan,61AK5ICbKk20h1dFS3mXuu,61AK5ICbKk20h1dFS3mXuu,0.745,0.586,0,-12.487,1,0.0359,0.457,0.000295,0.119,0.604,115.857,audio_features,61AK5ICbKk20h1dFS3mXuu,spotify:track:61AK5ICbKk20h1dFS3mXuu,https://api.spotify.com/v1/tracks/61AK5ICbKk20h1dFS3mXuu,https://api.spotify.com/v1/audio-analysis/61AK5ICbKk20h1dFS3mXuu,456640,4
Bette Davis Eyes,Kim Carnes,0odIT9B9BvOCnXfS0e4lB5,0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.624,audio_features,0odIT9B9BvOCnXfS0e4lB5,spotify:track:0odIT9B9BvOCnXfS0e4lB5,https://api.spotify.com/v1/tracks/0odIT9B9BvOCnXfS0e4lB5,https://api.spotify.com/v1/audio-analysis/0odIT9B9BvOCnXfS0e4lB5,228000,4
